id	status	urgent	dept_th	dept_en	title_th	title_en	location_th	location_en	type_th	type_en	experience_th	experience_en	education_th	education_en	salary_th	salary_en	slots	desc_th	desc_en	qualification_th	qualification_en
"1"	"TRUE"	"FALSE"	"วิศวกรรม"	"Engineering"	"วิศวกรออกแบบไฟฟ้า (Electrical Design Engineer)"	"Electrical Design Engineer"	"ลำลูกกา ปทุมธานี"	"Lumlukka, Pathum Thani"	"งานประจำ"	"Full-time"	"1 ปีขึ้นไป (ด้านเขียนโปรแกรม PLC)"	"1+ years in PLC programming"	"ปริญญาตรี (วิศวกรรมไฟฟ้า)"	"Bachelor's Degree in Electrical Engineering"	"ตามตกลง / ประสบการณ์"	"Competitive / Negotiable"	"1"	"วางแผนและออกแบบระบบควบคุมไฟฟ้าสำหรับเครื่องจักรอุตสาหกรรม
เขียนโปรแกรม PLC (Mitsubishi, Omron) และระบบ HMI
ออกแบบวงจรไฟฟ้าด้วยโปรแกรม AutoCAD Electrical หรือ E-Plan
ทดสอบและแก้ไขปัญหาของระบบควบคุมก่อนส่งมอบงาน
ประสานงานกับทีมวิศวกรเครื่องกลเพื่อให้ระบบทำงานสอดคล้องกัน"	"Plan and design electrical control systems for industrial machinery.
Develop PLC programs (Mitsubishi, Omron) and HMI interfaces.
Design electrical circuits using AutoCAD Electrical or E-Plan.
Test and troubleshoot control systems before delivery.
Coordinate with mechanical engineers for system integration."	"จบปริญญาตรี สาขาไฟฟ้า/หรือสาขาที่เกี่ยวข้อง
มีประสบการณ์ด้านการเขียนโปรแกรม PLC ยี่ห้อ Mitsubishi/Omron อย่างน้อย 1 ปีขึ้นไป
ออกแบบระบบการควบคุมเครื่องจักร นิวเมติกส์และไฮดรอลิกส์
วางแผนและออกแบบวงจรไฟฟ้าของเครื่องจักรตาม Concept ที่ลูกค้าต้องการ
ควบคุมค่าใช้จ่าย วัสดุอุปกรณ์ที่ออกแบบให้อยู่ภายใต้บประมาณที่กำหนด
จัดทำแผนการทดสอบเครื่องจักรและการ AUDIT เครื่องจักรก่อนส่งมอบให้ลูกค้า
ดำเนินการจัดทำ Drawing, Part List และ Manual ของเครื่องจักร
บริการลูกค้าเมื่อเครื่องจักรเกิดปัญหาขัดข้อง"	"Bachelor's Degree in Electrical Engineering or related field.
At least 1 year of experience in PLC programming (Mitsubishi/Omron).
Design control systems for machinery (Pneumatics & Hydraulics).
Plan and design electrical circuits according to customer concepts.
Control costs and materials within the specified budget.
Prepare test plans and audits before delivering machinery to customers.
Prepare drawings, part lists, and machine manuals.
Provide customer service for machine-related issues."
"2"	"TRUE"	"FALSE"	"ออกแบบ"	"Design"	"วิศวกรออกแบบเครื่องกล (Mechanical Design Engineer)"	"Mechanical Design Engineer"	"ลำลูกกา ปทุมธานี"	"Lumlukka, Pathum Thani"	"งานประจำ"	"Full-time"	"3 ปีขึ้นไป"	"3+ years"	"ปริญญาตรี (วิศวกรรมเครื่องกล)"	"Bachelor's Degree in Mechanical Engineering"	"ตามตกลง / ประสบการณ์"	"Competitive / Negotiable"	"3"	"ออกแบบโครงสร้าง 3D และจัดเตรียมแบบสั่งผลิตสำหรับเครื่องจักรอุตสาหกรรม
วิเคราะห์ความแข็งแรงของโครงสร้าง (Simulation) ก่อนการผลิต
จัดทำรายการวัสดุ (BOM) และใบสั่งซื้ออุปกรณ์มาตรฐาน
ติดตามการผลิตชิ้นส่วนและการประกอบเครื่องจักรให้เป็นไปตามแบบ
ปรับปรุงและพัฒนาแบบเครื่องจักรเพื่อเพิ่มประสิทธิภาพในการทำงาน"	"Create detailed 3D designs and engineering drawings for custom-built industrial machines.
Perform structural analysis (Simulation) before production.
Generate Bill of Materials (BOM) and purchase requisitions for standard parts.
Supervise part fabrication and machine assembly to ensure design compliance.
Improve and develop machine designs for better performance."	"วุฒิปริญญาตรี สาขาวิศวกรรมเครื่องกล
มีประสบการณ์การทำงานเป็นวิศวกรเครื่องกลอย่างน้อย 3 ปี
มีความรู้ความชำนาญในการใช้ซอฟต์แวร์ออกแบบ เช่น AutoCAD, Solid Work
มีทักษะการใช้โปรแกรม MS Office ขั้นสูง
สามารถควบคุมต้นทุนและออกแบบวัสดุอุปกรณ์ให้อยู่ในงบประมาณที่กำหนด
มีทักษะในการตัดสินใจและมีความเป็นผู้นำ
มีการจัดการเวลาและทักษะการจัดระเบียบที่ดี
สามารถสื่อสารภาษาอังกฤษได้ดีทั้งการเขียนและพูด"	"Bachelor degree in Mechanical Engineering.
Experience as a Mechanical engineer at least 3 years.
Knowledge of design and visualization software such as AutoCAD, Solid Work.
Advanced MS Office skills.
Control costs and design materials and equipment to stay within the specified budget.
Solid decision-making ability and leadership skills.
Good time management and organization skills.
Good command of both written and spoken English."
"3"	"TRUE"	"TRUE"	"การผลิต"	"Production"	"ช่างประกอบ (Assembly Technician)"	"Assembly Technician"	"ลำลูกกา ปทุมธานี"	"Lumlukka, Pathum Thani"	"งานประจำ"	"Full-time"	"มีประสบการณ์ด้านประกอบเครื่องจักร"	"Experienced in machine assembly"	"ปวส. ขึ้นไป"	"Vocational Diploma (HVC) or higher"	"ตามโครงสร้างบริษัท + สวัสดิการ"	"Competitive + Benefits"	"2  (ด่วนมาก)"	"ประกอบและติดตั้งชิ้นส่วนเครื่องจักรอุตสาหกรรมตามแบบวิศวกรรม
ติดตั้งระบบนิวเมติกส์และไฮดรอลิกส์พื้นฐาน
ตรวจสอบความถูกต้องของชิ้นส่วนก่อนเริ่มการประกอบ
แก้ไขและปรับปรุงชิ้นส่วนหน้างานเพื่อให้ประกอบได้ตามความต้องการ
รักษาความสะอาดและดูแลเครื่องมืออุปกรณ์ในการทำงาน"	"Assemble and install industrial machinery components following engineering drawings.
Install basic pneumatic and hydraulic systems.
Verify part accuracy and dimensions before starting assembly.
Modify and adjust parts on-site to ensure perfect fitment.
Maintain tool sets and keep the workspace clean and organized."	"อายุ 22 ปีขึ้นไป
ปวส.ขึ้นไป
มีความรู้ด้านเครื่องมือช่าง
มีประสบการณ์ด้านการประกอบเครื่องจักร
สามารถเริ่มงานได้ทันที (จะพิจารณาเป็นพิเศษ)"	"Age 22 years and above.
Vocational Diploma (HVC) or higher.
Knowledge of technician tools.
Experience in machine assembly.
Can start work immediately (special consideration)."
"4"	"TRUE"	"TRUE"	"การผลิต"	"Production"	"ช่าง CNC (CNC Technician)"	"CNC Technician"	"ลำลูกกา ปทุมธานี"	"Lumlukka, Pathum Thani"	"งานประจำ"	"Full-time"	"มีประสบการณ์ด้านงาน CNC"	"Experienced in CNC operation"	"ไม่จำกัดวุฒิ"	"N/A (Based on skill)"	"ตามโครงสร้างบริษัท + สวัสดิการ"	"Competitive + Benefits"	"ด่วนมาก"	"ควบคุมและดูแลเครื่อง CNC เพื่อผลิตชิ้นส่วนอุตสาหกรรมที่มีความแม่นยำสูง
เซ็ตอัพเครื่องจักร ปรับตั้ง Tool และ Offset ต่างๆ
ตรวจสอบคุณภาพชิ้นงานด้วยเครื่องมือวัดละเอียด (CMM, Vernier, Micrometer)
ดูแลรักษาความสะอาดเครื่องจักรเบื้องต้นตามแผนงาน
บันทึกผลการผลิตและรายงานปัญหาที่เกิดขึ้นระหว่างการทำงาน"	"Operate and maintain CNC machines to produce high-precision industrial parts.
Perform machine setups, tool measurements, and offset adjustments.
Monitor part quality using precision measurement tools (CMM, Vernier, Micrometer).
Perform basic daily machine maintenance as planned.
Record production results and report operational issues."	"อายุ 22 ปีขึ้นไป
ผ่านการเกณฑ์ทหารแล้ว
ไม่จำกัดวุฒิการศึกษา
มีประสบการณ์ด้านการ CNC
สามารถเข้ากะได้"	"Age 22 years and above.
Completed military service.
No restriction on education background.
Experience in CNC operations.
Able to work shifts."